date,win,boatname,delta,ref,grp
2016-08-13,401.34,M1x,-71.70999999999998,M8+,M8+vM1x
2016-08-13,441.54,W1x,-111.91000000000003,M8+,M8+vW1x
2016-08-13,361.49,W8+,-31.860000000000014,M8+,M8+vW8+
2016-08-12,390.7,LM2x,-32.089999999999975,M4-,M4-vLM2x
2016-08-12,424.73,LW2x,-66.12,M4-,M4-vLW2x
2016-08-12,438.29,W2-,-79.68,M4-,M4-vW2-
2016-08-11,419.71,M2-,-52.89999999999998,M4x,M4xvM2-
2016-08-11,410.28,M2x,-43.46999999999997,M4x,M4xvM2x
2016-08-11,460.1,W2x,-93.29000000000002,M4x,M4xvW2x
2016-08-11,409.39,W4x,-42.579999999999984,M4x,M4xvW4x
2015-09-06,414.76,M1x,-78.57999999999998,M8+,M8+vM1x
2015-09-06,363.33,M2x,-27.149999999999977,M8+,M8+vM2x
2015-09-06,458.92,W1x,-122.74000000000001,M8+,M8+vW1x
2015-09-06,405.09,W2x,-68.90999999999997,M8+,M8+vW2x
2015-09-06,365.65,W8+,-29.46999999999997,M8+,M8+vW8+
2015-09-05,373.38,LM2x,-26.600000000000023,M4-,M4-vLM2x
2015-09-05,413.01,LW2x,-66.23000000000002,M4-,M4-vLW2x
2015-09-05,375.83,M2-,-29.05000000000001,M4-,M4-vM2-
2015-09-05,353.22,M4x,-6.440000000000055,M4-,M4-vM4x
2015-09-05,412.99,W2-,-66.21000000000004,M4-,M4-vW2-
2015-09-05,387.07,W4x,-40.29000000000002,M4-,M4-vW4x
2014-08-31,397.12,M1x,-73.00999999999999,M8+,M8+vM1x
2014-08-31,360.52,M2x,-36.40999999999997,M8+,M8+vM2x
2014-08-31,434.95,W1x,-110.83999999999997,M8+,M8+vW1x
2014-08-31,398.04,W2x,-73.93,M8+,M8+vW2x
2014-08-31,356.83,W8+,-32.71999999999997,M8+,M8+vW8+
2014-08-30,365.36,LM2x,-25.120000000000005,M4-,M4-vLM2x
2014-08-30,408.56,LW2x,-68.32,M4-,M4-vLW2x
2014-08-30,369.34,M2-,-29.099999999999966,M4-,M4-vM2-
2014-08-30,332.26,M4x,7.980000000000018,M4-,M4-vM4x
2014-08-30,410.61,W2-,-70.37,M4-,M4-vW2-
2014-08-30,366.84,W4x,-26.599999999999966,M4-,M4-vW4x
2013-09-01,405.24,M1x,-74.88999999999999,M8+,M8+vM1x
2013-09-01,369.51,M2x,-39.15999999999997,M8+,M8+vM2x
2013-09-01,451.34,W1x,-120.98999999999995,M8+,M8+vW1x
2013-09-01,411.82,W2x,-81.46999999999997,M8+,M8+vW2x
2013-09-01,362.14,W8+,-31.789999999999964,M8+,M8+vW8+
2013-08-31,396.04,LM2x,-22.090000000000032,M4-,M4-vLM2x
2013-08-31,437.31,LW2x,-63.360000000000014,M4-,M4-vLW2x
2013-08-31,394.98,M2-,-21.03000000000003,M4-,M4-vM2-
2013-08-31,353.57,M4x,20.379999999999995,M4-,M4-vM4x
2013-08-31,442.82,W2-,-68.87,M4-,M4-vW2-
2013-08-31,401.86,W4x,-27.910000000000025,M4-,M4-vW4x
2012-08-04,397.17,LM2x,-33.19999999999999,M4-,M4-vLM2x
2012-08-04,429.3,LW2x,-65.32999999999998,M4-,M4-vLW2x
2012-08-04,474.37,W1x,-110.39999999999998,M4-,M4-vW1x
2012-08-03,417.82,M1x,-75.339999999999975,M4x,M4xvM1x
2012-08-03,376.65,M2-,-34.16999999999996,M4x,M4xvM2-
2012-08-03,415.82,W2x,-73.339999999999975,M4x,M4xvW2x
2012-08-02,391.67,M2x,-21.08000000000004,W8+,W8+vM2x
2012-08-01,447.13,W2-,-98.38,M8+,M8+vW2-
2012-08-01,395.93,W4x,-47.18000000000001,M8+,M8+vW4x
2011-09-04,378.67,LM2x,-23.49000000000001,M4-,M4-vLM2x
2011-09-04,419.8,LW2x,-64.62,M4-,M4-vLW2x
2011-09-04,446.64,W1x,-91.45999999999998,M4-,M4-vW1x
2011-09-03,399.56,M1x,-60.25,M4x,M4xvM1x
2011-09-03,374.77,M2-,-35.45999999999998,M4x,M4xvM2-
2011-09-03,404.73,W2x,-65.42000000000002,M4x,M4xvW2x
2011-09-03,390.3,W4-,-50.99000000000001,M4x,M4xvW4-
2011-09-02,370.76,M2x,-7.110000000000014,W8+,W8+vM2x
2011-09-01,418.16,W2-,-89.35000000000002,M8+,M8+vW2-
2011-09-01,378.37,W4x,-49.56,M8+,M8+vW4x
2010-11-07,382.63,M2x,-48.79000000000002,M8+,M8+vM2x
2010-11-07,424.7,W2x,-90.86000000000001,M8+,M8+vW2x
2010-11-07,372.42,W8+,-38.58000000000004,M8+,M8+vW8+
2010-11-06,407.49,M1x,-17.329999999999984,M2-,M2-vM1x
2010-11-06,467.61,W1x,-77.44999999999999,M2-,M2-vW1x
2010-11-06,437.12,W2-,-46.95999999999998,M2-,M2-vW2-
2010-11-05,433.47,LM2x,-28.090000000000032,M4-,M4-vLM2x
2010-11-05,486.2,LW2x,-80.82,M4-,M4-vLW2x
2010-11-05,375.78,M4x,29.600000000000023,M4-,M4-vM4x
2010-11-05,441.09,W4-,-35.70999999999998,M4-,M4-vW4-
2010-11-05,432.78,W4x,-27.399999999999977,M4-,M4-vW4x
2009-08-30,370.62,LM2x,-46.49000000000001,M8+,M8+vLM2x
2009-08-30,411.46,LW2x,-87.32999999999998,M8+,M8+vLW2x
2009-08-30,338.33,M4x,-14.199999999999989,M8+,M8+vM4x
2009-08-30,378.41,W4x,-54.28000000000003,M8+,M8+vW4x
2009-08-30,365.34,W8+,-41.20999999999998,M8+,M8+vW8+
2009-08-29,393.35,M1x,-46.07000000000005,M4-,M4-vM1x
2009-08-29,375.93,M2-,-28.650000000000034,M4-,M4-vM2-
2009-08-29,367.02,M2x,-19.74000000000001,M4-,M4-vM2x
2009-08-29,431.78,W1x,-84.5,M4-,M4-vW1x
2009-08-29,426.28,W2-,-79,M4-,M4-vW2-
2009-08-29,407.18,W2x,-59.900000000000034,M4-,M4-vW2x
2009-08-29,391.34,W4-,-44.06,M4-,M4-vW4-
2008-08-17,370.99,LM2x,-47.10000000000002,M8+,M8+vLM2x
2008-08-17,414.74,LW2x,-90.85000000000002,M8+,M8+vLW2x
2008-08-17,341.33,M4x,-17.439999999999998,M8+,M8+vM4x
2008-08-17,376.06,W4x,-52.170000000000016,M8+,M8+vW4x
2008-08-17,365.34,W8+,-41.44999999999999,M8+,M8+vW8+
2008-08-16,419.83,M1x,-53.25999999999999,M4-,M4-vM1x
2008-08-16,397.44,M2-,-30.870000000000005,M4-,M4-vM2-
2008-08-16,387.77,M2x,-21.19999999999999,M4-,M4-vM2x
2008-08-16,442.34,W1x,-75.76999999999998,M4-,M4-vW1x
2008-08-16,440.6,W2-,-74.03000000000003,M4-,M4-vW2-
2008-08-16,427.32,W2x,-60.75,M4-,M4-vW2x
2007-09-02,384.21,LM2x,-49.289999999999964,M8+,M8+vLM2x
2007-09-02,349.42,M4x,-14.5,M8+,M8+vM4x
2007-09-02,427.18,LW2x,-92.25999999999999,M8+,M8+vLW2x
2007-09-02,390.81,W4x,-55.889999999999986,M8+,M8+vW4x
2007-09-02,377.2,W8+,-42.27999999999997,M8+,M8+vW8+
2007-09-01,405.67,M1x,-51.43000000000001,M4-,M4-vM1x
2007-09-01,384.89,M2-,-30.649999999999977,M4-,M4-vM2-
2007-09-01,376.65,M2x,-22.409999999999968,M4-,M4-vM2x
2007-09-01,446.52,W1x,-92.27999999999997,M4-,M4-vW1x
2007-09-01,426.56,W2-,-72.32,M4-,M4-vW2-
2007-09-01,414.38,W2x,-60.139999999999986,M4-,M4-vW2x
2007-09-01,397.94,W4-,-43.69999999999999,M4-,M4-vW4-
2006-08-27,371.42,LM2x,-49.56999999999999,M8+,M8+vLM2x
2006-08-27,338.99,M4x,-17.139999999999986,M8+,M8+vM4x
2006-08-27,415.12,LW2x,-93.26999999999998,M8+,M8+vLW2x
2006-08-27,372.5,W4x,-50.64999999999998,M8+,M8+vW4x
2006-08-27,355.5,W8+,-33.64999999999998,M8+,M8+vW8+
2006-08-26,395.4,M1x,-51.64999999999998,M4-,M4-vM1x
2006-08-26,378,M2-,-34.25,M4-,M4-vM2-
2006-08-26,367.6,M2x,-23.850000000000023,M4-,M4-vM2x
2006-08-26,431.02,W1x,-87.26999999999998,M4-,M4-vW1x
2006-08-26,414.68,W2-,-70.93,M4-,M4-vW2-
2006-08-26,407.67,W2x,-63.920000000000016,M4-,M4-vW2x
2006-08-26,385.35,W4-,-41.60000000000002,M4-,M4-vW4-
2005-09-04,365.1,LM2x,-42.35000000000002,M8+,M8+vLM2x
2005-09-04,334.96,M4x,-12.20999999999998,M8+,M8+vM4x
2005-09-04,408.47,LW2x,-85.72000000000003,M8+,M8+vLW2x
2005-09-04,369.59,W4x,-46.839999999999975,M8+,M8+vW4x
2005-09-04,358.1,W8+,-35.35000000000002,M8+,M8+vW8+
2005-09-03,436.42,M1x,-64.83000000000004,M4-,M4-vM1x
2005-09-03,412.51,M2-,-40.920000000000016,M4-,M4-vM2-
2005-09-03,397.61,M2x,-26.02000000000004,M4-,M4-vM2x
2005-09-03,468.35,W1x,-96.76000000000005,M4-,M4-vW1x
2005-09-03,463.83,W2-,-92.24000000000001,M4-,M4-vW2-
2005-09-03,428.03,W2x,-56.44,M4-,M4-vW2x
2005-09-03,415.56,W4-,-43.97000000000003,M4-,M4-vW4-
