date,win,podium,boatname,delta,ref,grp
2005-09-03,436.42,441.12,M1x,-69.53000000000003,M4-,M4-vM1x
2005-09-03,412.51,417.29,M2-,-45.700000000000045,M4-,M4-vM2-
2005-09-03,397.61,406.71,M2x,-35.120000000000005,M4-,M4-vM2x
2005-09-03,371.59,376.02,M4-,-4.430000000000007,M4-,M4-vM4-
2005-09-03,468.35,472.62,W1x,-101.03000000000003,M4-,M4-vW1x
2005-09-03,463.83,470.07,W2-,-98.48000000000002,M4-,M4-vW2-
2005-09-03,428.03,442.86,W2x,-71.27000000000004,M4-,M4-vW2x
2005-09-03,415.56,427.96,W4-,-56.370000000000005,M4-,M4-vW4-
2005-09-04,365.1,367.93,LM2x,-45.18000000000001,M8+,M8+vLM2x
2005-09-04,408.47,409.02,LW2x,-86.26999999999998,M8+,M8+vLW2x
2005-09-04,334.96,336.61,M4x,-13.860000000000014,M8+,M8+vM4x
2005-09-04,322.75,325.66,M8+,-2.910000000000025,M8+,M8+vM8+
2005-09-04,369.59,372.19,W4x,-49.44,M8+,M8+vW4x
2005-09-04,358.1,359.61,W8+,-36.860000000000014,M8+,M8+vW8+
2006-08-26,395.4,397.51,M1x,-53.75999999999999,M4-,M4-vM1x
2006-08-26,378,381.83,M2-,-38.079999999999984,M4-,M4-vM2-
2006-08-26,367.6,370.95,M2x,-27.19999999999999,M4-,M4-vM2x
2006-08-26,343.75,345.54,M4-,-1.7900000000000205,M4-,M4-vM4-
2006-08-26,431.02,438.35,W1x,-94.60000000000002,M4-,M4-vW1x
2006-08-26,414.68,417.11,W2-,-73.36000000000001,M4-,M4-vW2-
2006-08-26,407.67,408.82,W2x,-65.07,M4-,M4-vW2x
2006-08-26,385.35,388.66,W4-,-44.910000000000025,M4-,M4-vW4-
2006-08-27,371.42,375.94,LM2x,-54.089999999999975,M8+,M8+vLM2x
2006-08-27,415.12,417.14,LW2x,-95.28999999999996,M8+,M8+vLW2x
2006-08-27,338.99,341.23,M4x,-19.379999999999995,M8+,M8+vM4x
2006-08-27,321.85,324.14,M8+,-2.2899999999999636,M8+,M8+vM8+
2006-08-27,372.5,374.67,W4x,-52.81999999999999,M8+,M8+vW4x
2006-08-27,355.5,360.29,W8+,-38.44,M8+,M8+vW8+
2007-09-01,405.67,407.58,M1x,-53.339999999999975,M4-,M4-vM1x
2007-09-01,384.89,391.06,M2-,-36.81999999999999,M4-,M4-vM2-
2007-09-01,376.65,378.32,M2x,-24.079999999999984,M4-,M4-vM2x
2007-09-01,354.24,355.49,M4-,-1.25,M4-,M4-vM4-
2007-09-01,446.52,448.48,W1x,-94.24000000000001,M4-,M4-vW1x
2007-09-01,426.56,428.87,W2-,-74.63,M4-,M4-vW2-
2007-09-01,414.38,417.74,W2x,-63.5,M4-,M4-vW2x
2007-09-01,397.94,403.03,W4-,-48.789999999999964,M4-,M4-vW4-
2007-09-02,384.21,386.92,LM2x,-52,M8+,M8+vLM2x
2007-09-02,427.18,428.97,LW2x,-94.05000000000001,M8+,M8+vLW2x
2007-09-02,349.42,352.4,M4x,-17.47999999999996,M8+,M8+vM4x
2007-09-02,334.92,337.95,M8+,-3.0299999999999727,M8+,M8+vM8+
2007-09-02,390.81,393.91,W4x,-58.99000000000001,M8+,M8+vW4x
2007-09-02,377.2,379.66,W8+,-44.74000000000001,M8+,M8+vW8+
2008-07-27,399.89,404.69,W4-,-4.800000000000011,W4-,W4-vW4-
2008-08-16,419.83,421.56,M1x,-54.99000000000001,M4-,M4-vM1x
2008-08-16,397.44,404.19,M2-,-37.620000000000005,M4-,M4-vM2-
